Nom_Placette;XUTM;YUTM;h1;h2;h3
gt9;379414,4119;450943,7858;NA;NA;NA
gt10;379456,6948;450933,5576;NA;NA;NA
gt11;379439,5665;450909,8113;NA;NA;NA
gt12;379412,1439;450908,411;NA;NA;NA
gt13;379392,0682;450921,8153;NA;NA;NA
gt14;379373,8859;450939,7499;NA;NA;NA
gt15;379335,5455;450992,205;NA;NA;NA
gt16;379319,8794;450982,6078;NA;NA;NA
gt17;379303,0531;451018,1189;NA;NA;NA
gt18;379316,0982;450977,6379;NA;NA;NA
gt19;379294,8429;451021,7783;NA;NA;NA
gt20;379334,3667;451023,6044;NA;NA;NA
gt21;379357,6794;451023,2413;NA;NA;NA
p01;379021,747;451432,5307;NA;NA;NA
p02;379015,7644;451441,4938;NA;NA;NA
p03;379020,9884;451446,1301;NA;NA;NA
p04;379016,397;451334,8066;NA;NA;NA
p05;379015,2704;451322,647;NA;NA;NA
p06;378992,3405;451359,7143;NA;NA;NA
p07;378992,2295;451359,7144;NA;NA;NA
p08;379035,8628;451281,0501;NA;NA;NA
p09;379055,0583;451273,6169;NA;NA;NA
p10;379076,0667;451293,2674;NA;NA;NA
p11;379088,4786;451277,22;NA;NA;NA
p12;379093,7801;451257,0917;NA;NA;NA
p13;379112,6555;451259,2772;NA;NA;NA
sc4;379055,3374;450741,5115;7,3;8;9,5
sc5;379045,0695;450783,3155;11;11,5;13
sc10;379007,6561;450700,3387;11;12,5;13,5
sc11;378977,6654;450770,14;12;14;14
sc12;378971,7955;450780,4296;11;12;NA
sc13;378997,0458;450735,1781;13;14;NA
gt1;379638,8604;451008,49;8;10;15
gt2;379656,6971;450981,2693;8;10;14
gt3;379555,7643;451048,6231;7;9;9
gt4;379466,6978;451024,5314;10;11;13
gt5;379541,9656;450859,481;7;7;10
gt6;379500,8582;450918,2414;8;8;11
sc14;379236,6467;450757,1866;11,5;15;16
sc15;379291,0055;450728,4792;8,5;10;11
sc16;379307,7121;450686,4455;8;8;9
pt2;379080,6678;451165,7903;9;10;8
pt3;379138,2972;451093,0772;10;12;14
gtf;379127,9782;451097,0712;8;8,5;13
gtg;379294,9131;451073,7394;6;8;12
gth;379525,6651;451038,1608;10;13;14
pt1;379036,6537;451373,2526;9;8,5;5,7
sc1;379130,3113;450687,7906;11;12;12,5
sc2;379130,5744;450718,1931;8;9;11,5
sc3;379116,6249;450746,6248;8,2;8,3;8,5
sca;379122,7836;450785,7532;11;15;15
scb;379143,644;450777,9861;5;5;5,9
scc;379111,3688;450800,362;8;8,5;18
scd;379089,9741;450823,4971;6,1;9,7;15
sce;379081,6202;450885,0879;12;14;14,5
scf;379104,8066;450873,4482;4,5;5;7
scg;379096,9117;450863,9511;9;11;13
gta;379634,426;451013,1393;10,5;8;9,5
gtb;379646,7372;451004,6099;8;8,5;7,5
gtc;379591,182;451051,5603;6;8;8,5
gtd;379552,6787;451065,5422;10,6;8,5;6,1
gte;379521,2363;451046,9007;10;12;13
gti;379526,3053;451101,2872;9;12;13
sch;379228,5001;450725,6892;9;9;13
sci;379281,2275;450722,0802;7;7;9
scj;379278,8987;450723,9628;8;8;9
sck;379196,6815;450675,2082;13;14;14
pta;379077,1712;451207,1429;8;9;9
ptb;379089,1408;451192,3123;NA;NA;NA
ptc;379101,6129;451138,6758;11;13;14
gt7;379320,9637;451045,6231;6,5;12;13
gt8;379511,4202;451012,1995;11,5;12,5;13,5
sc18;379015,6862;450973,8429;4,5;6,5;6,5
scl;379013,3169;450945,7649;9;9;11
ptd;379057,619;451115,0764;14;14;12
pt5;379031,4354;451126,8308;6,2;7;10,5
pt6;379013,5715;451215,8524;14;10;11
pte;378995,1245;451202,1685;10;8;10
sc7;379018,4032;450747,5653;NA;NA;NA
sc8;378970,8907;450719,3775;7,5;10;NA
sc9;378973,7967;450745,6765;11;11;11,5
sc6;379012,1554;450767,3259;10;8;NA
pt4;NA;NA;12;13;14
sc17;NA;NA;6;7,5;8
p4c2_953;286060,1872;583009,9419;NA;NA;NA
p4c1_164;285853,1751;582961,3794;7;9;11
p4c1_20;285840,9166;582967,512;9;9;11
p4c4_575;285912,5403;582948,6841;7;9;11
p4c2_581;286026,7886;582990,8293;6;7;11
p4c4_551;286031,1732;582973,2042;NA;NA;NA
p4c4_756;285917,126;582970,3746;9;7;9
p4c2_912;286048,636;583034,2937;NA;NA;NA
p4c2_797;286033,6716;583033,3026;NA;NA;NA
p4c2_705;286022,6352;583055,5542;NA;NA;NA
p4c2_2916;286012,1996;583063,8666;NA;NA;NA
p11c3_816;286230,9056;581244,1965;NA;NA;NA
p11c3_590;286208,5881;581237,9883;NA;NA;NA
p9c2_992;286394,4357;581740,2837;5;7;7
p9c2_872;286378,2542;581739,0532;8;9;9
p9c2_775;286366,0126;581737,9918;5;7;9
p9c2_671;286358,8366;581746,0468;5;6;7
p9c2_666;286350,6066;581741,0619;5;6;6
p9c2_259;286309,8248;581735,4347;5;5;7
p9c4_114;286313,8946;581647,2624;5;6;7
p9c4_319;286349,4196;581649,4285;4;6;6
p9c4_686;286383,4119;581648,1203;9;11;11
p9c4_550;286372,5369;581637,4821;7;8;8
p9c4_569;286374,1219;581617,0333;7;9;9
p9c4_149;286334,1083;581606,8751;6;7;9
p9c4_249;286349,0551;581582,8466;6;8;11
p9c4_375;286366,84;581589,445;5;6;8
p9c4_641;286396,561;581585,3848;5;7;12
p9c4_397;286363,205;581564,8477;4;7;8
p9c4_186;286333,8555;581573,0193;6;8;9
p9c3_691;286286,4314;581543,879;5;7;10
p9c3_719;286279,3246;581566,2795;12;14;14
p9c3_839;286280,9541;581583,966;9;10;13
p9c1_858;286263,9926;581747,9881;5;5;7
p12c2_361;286554,0508;581484,5544;6;11;11
p12c2_574;286557,1887;581494,4915;7;10;10
p12c2_136;286526,5548;581479,0868;7;7;9,5
p12c2_70;286518,3718;581462,8784;NA;NA;NA
p12c2_33;286531,4719;581421,7025;NA;NA;NA
p12c2_757;286591,5554;581451,0445;7;8;10
p12c2_655;286583,9843;581445,1074;5;7;9
p12c2_660;286586,1136;581432,8463;7;10;NA
p12c2_719;286604,2484;581412,6584;4;6;6
p12c2_928;286616,4137;581413,4884;4;6;7
p12c4_79;286548,4469;581357,9293;4;7;7
p12c4_58;286558,1542;581338,579;7;9;9
p12c4_31;286565,4355;581300,142;5;7;7
p12c4_2878;286560,9605;581298,5128;NA;NA;NA
p12c4_174;286579,9489;581278,0226;NA;NA;NA
p12c4_415;286597,1589;581307,676;9;11;12
p12c4_3128;286573,8224;581267,021;4;7;7
p12c4_3070;286572,0826;581265,3485;NA;NA;NA
p12c3_652;286513,4859;581325,3582;7;10;12
p12c3_843;286535,3425;581311,7633;NA;NA;NA
p12c3_748;286523,7316;581307,3106;NA;NA;NA
p12c3_717;286505,7217;581366,3199;4;5;7
p12c3_889;286522,4071;581363,339;9;10;15
p12c1_836;286497,9681;581377,8361;8;10;11
p12c1_1045;286520,32;581393,9245;NA;NA;NA
p10c3_3251;286540,3517;581587,1431;8;8;9
p10c3_205;286521,3331;581582,9097;4;5;7
p10c3_450;286548,3466;581602,6193;5;5;7
p10c3_367;286535,712;581617,74;6;8;12
p10c3_468;286549,0136;581624,6674;7;9;11
p10c3_512;286530,6102;581672,2474;6;7;9
p10c3_497;286538,6351;581661,0353;5;6;6
p10c3_333;286520,0681;581668,2982;7;10;12
